AÑO,Mes,Tipo de Estado,Categoria,DESCRIPCION,VALOR
2025,3,Estado de Situación Financiera,ACTIVOS,ACTIVOS,650460896321.02
2025,3,Estado de Situación Financiera,ACTIVOS,EFECTIVO Y EQUIVALENTES AL EFECTIVO,286366042942.9
2025,3,Estado de Situación Financiera,ACTIVOS,CAJA,9490000
2025,3,Estado de Situación Financiera,ACTIVOS,CAJA MENOR,9490000
2025,3,Estado de Situación Financiera,ACTIVOS,DEPOSITOS EN INSTITUCIONES FINANCIERAS,286356552942.9
2025,3,Estado de Situación Financiera,ACTIVOS,CUENTA CORRIENTE,1580913.07
2025,3,Estado de Situación Financiera,ACTIVOS,CUENTA DE AHORRO,286354972029.83
2025,3,Estado de Situación Financiera,ACTIVOS,INVERSIONES E INSTRUMENTOS DERIVADOS,56862981603.2
2025,3,Estado de Situación Financiera,ACTIVOS,INVERSION DE ADMON DE LIQUIDEZ A VALOR DE MERCADO,493131600
2025,3,Estado de Situación Financiera,ACTIVOS,ENTIDADES PRIVADAS,493131600
2025,3,Estado de Situación Financiera,ACTIVOS,INVERSIONES DE ADMINISTRACION DE LIQUIDEZ AL COSTO,13131133409.88
2025,3,Estado de Situación Financiera,ACTIVOS,ACCIONES ORDINARIAS,13131133409.88
2025,3,Estado de Situación Financiera,ACTIVOS,INVER EN ASOC. CONTAB POR EL METODO DE PART PATRIM,44172505557.81
2025,3,Estado de Situación Financiera,ACTIVOS,ENTIDADES PRIVADAS,7649206346.32
2025,3,Estado de Situación Financiera,ACTIVOS,EMPRESAS PUBLICAS SOCIETARIAS,36523299211.49
2025,3,Estado de Situación Financiera,ACTIVOS,PROVISION PARA PROTECCION DE INVERSIONES,933788964.49
2025,3,Estado de Situación Financiera,ACTIVOS,INVERSIONES DE ADMINISTRACION DE LIQUIDEZ AL COSTO,933788964.49
2025,3,Estado de Situación Financiera,ACTIVOS,CUENTAS POR COBRAR,3248054629
2025,3,Estado de Situación Financiera,ACTIVOS,OTRAS CUENTAS POR COBRAR,3248054629
2025,3,Estado de Situación Financiera,ACTIVOS,OTRAS CUENTAS POR COBRAR,3248054629
2025,3,Estado de Situación Financiera,ACTIVOS,DEUDORES,284764411571.48
2025,3,Estado de Situación Financiera,ACTIVOS,PRESTAMOS CONCEDIDOS,298057677805.78
2025,3,Estado de Situación Financiera,ACTIVOS,PRESTAMOS DE FOMENTO Y DSLLO REGIONAL,297984943812.96
2025,3,Estado de Situación Financiera,ACTIVOS,CREDITOS A EMPLEADOS,72733992.82
2025,3,Estado de Situación Financiera,ACTIVOS,PROVISION PARA DEUDORES (CR),13293266234.3
2025,3,Estado de Situación Financiera,ACTIVOS,PRESTAMOS CONCEDIDOS,13293266234.3
2025,3,Estado de Situación Financiera,ACTIVOS,"PROPIEDADES, PLANTA  Y EQUIPO",4278805221.01
2025,3,Estado de Situación Financiera,ACTIVOS,TERRENOS,1370658107.66
2025,3,Estado de Situación Financiera,ACTIVOS,URBANOS,1370658107.66
2025,3,Estado de Situación Financiera,ACTIVOS,EDIFICACIONES,1728332425.32
2025,3,Estado de Situación Financiera,ACTIVOS,OFICINAS,1728332425.32
2025,3,Estado de Situación Financiera,ACTIVOS,"MUEBLES, ENSERES Y EQUIPO DE OFICINA",1894827234.72
2025,3,Estado de Situación Financiera,ACTIVOS,MUEBLES Y ENSERES,1606985557
2025,3,Estado de Situación Financiera,ACTIVOS,EQUIPOS Y MAQUINAS DE OFICINA,287841677.72
2025,3,Estado de Situación Financiera,ACTIVOS,EQUIPO DE COMUNICACION Y COMPUTO,2893038053.95
2025,3,Estado de Situación Financiera,ACTIVOS,EQUIPO DE COMUNICACION,91425400
2025,3,Estado de Situación Financiera,ACTIVOS,EQUIPO DE COMPUTACION,2801612653.95
2025,3,Estado de Situación Financiera,ACTIVOS,EQUIPOS DE TRANSPORTE,958100219
2025,3,Estado de Situación Financiera,ACTIVOS,TERRESTRE,958100219
2025,3,Estado de Situación Financiera,ACTIVOS,BIENES DE ARTE Y CULTURA,14930239.5
2025,3,Estado de Situación Financiera,ACTIVOS,OBRAS DE ARTE,14930239.5
2025,3,Estado de Situación Financiera,ACTIVOS,DEPRECIACION ACUMULADA,4581081059.14
2025,3,Estado de Situación Financiera,ACTIVOS,EDIFICACIONES,851114673.14
2025,3,Estado de Situación Financiera,ACTIVOS,MUEBLES ENSERES Y EQUIPOS DE OFICINA,1431076473.82
2025,3,Estado de Situación Financiera,ACTIVOS,EQUIPO DE COMUNICACION Y COMPUTO,1978383466.42
2025,3,Estado de Situación Financiera,ACTIVOS,EQUIPO DE TRANSPORTE,320506445.76
2025,3,Estado de Situación Financiera,ACTIVOS,OTROS ACTIVOS,14940600353.43
2025,3,Estado de Situación Financiera,ACTIVOS,AVANCES Y ANTICIPOS ENTREGADOS,826967533.09
2025,3,Estado de Situación Financiera,ACTIVOS,ANTICIPOS SOBRE CONVENIOS Y ACUERDOS,826967533.09
2025,3,Estado de Situación Financiera,ACTIVOS,PROPIEDADES DE INVERSION,13732515966
2025,3,Estado de Situación Financiera,ACTIVOS,TERRENOS,12217632112
2025,3,Estado de Situación Financiera,ACTIVOS,EDIFICACIONES,1514883854
2025,3,Estado de Situación Financiera,ACTIVOS,INTANGIBLES,2402730342.1
2025,3,Estado de Situación Financiera,ACTIVOS,LICENCIAS,629646445.48
2025,3,Estado de Situación Financiera,ACTIVOS,SOFTWARE,1773083896.62
2025,3,Estado de Situación Financiera,ACTIVOS,AMORTIZACION ACUMULADA INTANGIBLE,2021613487.76
2025,3,Estado de Situación Financiera,ACTIVOS,LICENCIAS,598431446
2025,3,Estado de Situación Financiera,ACTIVOS,SOFTWARE,1423182041.76
2025,3,Estado de Situación Financiera,PASIVOS,PASIVOS,425359883840.47
2025,3,Estado de Situación Financiera,PASIVOS,OPERACIONES DE INSTITUCIONES FINANCIERAS,413552913558.2
2025,3,Estado de Situación Financiera,PASIVOS,OPERACIONES DE CAPTACION Y SERV.FCIE,413552913558.2
2025,3,Estado de Situación Financiera,PASIVOS,CERTIFICADOS DE DEPOSITOS A TERMINO,42725501105
2025,3,Estado de Situación Financiera,PASIVOS,DEPOSITOS DE AHORROS,366271542444
2025,3,Estado de Situación Financiera,PASIVOS,DEPOSITOS ESPECIALES,4555870009.2
2025,3,Estado de Situación Financiera,PASIVOS,CUENTAS POR PAGAR,2059805420.19
2025,3,Estado de Situación Financiera,PASIVOS,ADQUISICION DE BIENES Y SERVICIOS NALES,1266157802
2025,3,Estado de Situación Financiera,PASIVOS,BIENES Y SERVICIOS,1266157802
2025,3,Estado de Situación Financiera,PASIVOS,RECURSOS A FAVOR DE TERCEROS,15908455
2025,3,Estado de Situación Financiera,PASIVOS,ESTAMPILLAS,15908455
2025,3,Estado de Situación Financiera,PASIVOS,DESCUENTOS DE NOMINA,108150028.14
2025,3,Estado de Situación Financiera,PASIVOS,APORTES A FONDOS PENSIONALES,16498371
2025,3,Estado de Situación Financiera,PASIVOS,APORTES EN SEGURIDAD SOCIAL EN SALUD,13853917
2025,3,Estado de Situación Financiera,PASIVOS,SINDICATOS,576348
2025,3,Estado de Situación Financiera,PASIVOS,FONDOS DE EMPLEADOS,5142875
2025,3,Estado de Situación Financiera,PASIVOS,LIBRANZAS,14575026
2025,3,Estado de Situación Financiera,PASIVOS,CONTRATOS DE MEDICINA PREPAGADA,338437
2025,3,Estado de Situación Financiera,PASIVOS,SEGUROS,1800317
2025,3,Estado de Situación Financiera,PASIVOS,CUENTAS DE AHORRO FOMENTO LA CONSTRUCCION,500000
2025,3,Estado de Situación Financiera,PASIVOS,OTROS DESCUENTOS DE NOMINA,54864737.14
2025,3,Estado de Situación Financiera,PASIVOS,"RETENCION EN LA FUENTE, IMPTO TIMBRE",27747910
2025,3,Estado de Situación Financiera,PASIVOS,RETENCION HONORARIOS,3435875
2025,3,Estado de Situación Financiera,PASIVOS,RETENCION SERVICIOS,221123
2025,3,Estado de Situación Financiera,PASIVOS,RETENCION ARRENDAMIENTO,822678
2025,3,Estado de Situación Financiera,PASIVOS,RETENCION RENDIMIENTOS FINANCIEROS,117446
2025,3,Estado de Situación Financiera,PASIVOS,RETENCION SALARIOS-EMPLEADOS ART. 383 ET,21065260
2025,3,Estado de Situación Financiera,PASIVOS,IMPUESTO A LAS VENTA RETENIDO,1588459
2025,3,Estado de Situación Financiera,PASIVOS,RETENCION DE IMPUESTO DE INDUSTRIA Y COM,497069
2025,3,Estado de Situación Financiera,PASIVOS,OTRAS CUENTAS POR PAGAR,641841225.05
2025,3,Estado de Situación Financiera,PASIVOS,ESQUEMAS DE PAGO,558315720.21
2025,3,Estado de Situación Financiera,PASIVOS,SEGUROS,1389436
2025,3,Estado de Situación Financiera,PASIVOS,CHEQUES NO COBRADOS O POR RECLAMAR,65077668.84
2025,3,Estado de Situación Financiera,PASIVOS,APORTES AL ICBF Y SENA,17058400
2025,3,Estado de Situación Financiera,PASIVOS,OBLIGACIONES LABORALES,1557127237.4
2025,3,Estado de Situación Financiera,PASIVOS,BENEFICIOS A LOS EMPLEADOS A CORTO PLAZO,799256890
2025,3,Estado de Situación Financiera,PASIVOS,CESANTIAS,174520591
2025,3,Estado de Situación Financiera,PASIVOS,INTERESES SOBRE CESANTIAS,4413933
2025,3,Estado de Situación Financiera,PASIVOS,VACACIONES,168365286
2025,3,Estado de Situación Financiera,PASIVOS,PRIMA DE VACACIONES,113680578
2025,3,Estado de Situación Financiera,PASIVOS,PRIMA DE SERVICIOS,118815516
2025,3,Estado de Situación Financiera,PASIVOS,PRIMA DE NAVIDAD,133593774
2025,3,Estado de Situación Financiera,PASIVOS,APORTE FONDOS PENSIONALES-EMPLEADOR,42255629
2025,3,Estado de Situación Financiera,PASIVOS,APORTE A SEGURIDAD SOCIAL EN SALUD - EMPLEADOR,29966283
2025,3,Estado de Situación Financiera,PASIVOS,APORTES A CAJAS DE COMPENSACION FAMILIAR,13645300
2025,3,Estado de Situación Financiera,PASIVOS,BENEFICIOS A LOS EMPLEADOS A LARGO PLAZO,547813977
2025,3,Estado de Situación Financiera,PASIVOS,OTROS BENEFICIOS A LOS EMPLEADOS A LARGO PLAZO,547813977
2025,3,Estado de Situación Financiera,PASIVOS,BENEFICIOS POSEMPLEO - PENSIONES,210056370.4
2025,3,Estado de Situación Financiera,PASIVOS,CALCULO ACTUARIAL DE FUTURAS PENSIONES,210056370.4
