"NIT","RAZON SOCIAL","AÑO","MES","MUNICIPIO","ESTRATO","No. SUSCRIPTORES ACUEDUCTO","CONSUMO M3 ACUEDUCTO","PROMEDIO CONSUMO ACUEDUCTO","No. SUSCRIPTORES ALCANTARILLADO","CONSUMO M3 ALCANTARILLADO","PROMEDIO CONSUMO ALCANTARILLADO"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","AGUADAS","Estrato1","1.043","8.761","8.4","848","7.674","9.05"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","AGUADAS","Estrato2","1.983","21.442","10.81","1.781","20.284","11.39"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","AGUADAS","Estrato3","434","5.511","12.7","416","5.209","12.52"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","AGUADAS","Estrato4","20","168","8.4","16","168","10.5"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","AGUADAS","Estrato5","1","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","AGUADAS","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","AGUADAS","Industrial","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","AGUADAS","Comercial","361","3.994","11.06","328","3.916","11.94"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","AGUADAS","Publico / Oficial","47","2.907","61.85","38","2.866","75.42"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ANSERMA","Estrato1","1.298","13.3","10.25","1.082","12.071","11.16"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ANSERMA","Estrato2","1.635","17.367","10.62","1.502","16.967","11.3"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ANSERMA","Estrato3","2.955","29.528","9.99","2.839","29.282","10.31"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ANSERMA","Estrato4","146","1.49","10.21","143","1.49","10.42"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ANSERMA","Estrato5","4","131","32.75","1","61","61"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ANSERMA","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ANSERMA","Industrial","1","2","2","1","2","2"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ANSERMA","Comercial","558","4.521","8.1","494","4.389","8.88"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ANSERMA","Publico / Oficial","55","3.266","59.38","43","2.013","46.81"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ARAUCA","Estrato1","729","7.218","9.9","544","6.286","11.56"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ARAUCA","Estrato2","701","9.613","13.71","598","8.732","14.6"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ARAUCA","Estrato3","41","597","14.56","40","597","14.93"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ARAUCA","Estrato4","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ARAUCA","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ARAUCA","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ARAUCA","Industrial","1","4","4","1","4","4"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ARAUCA","Comercial","93","931","10.01","82","904","11.02"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ARAUCA","Publico / Oficial","16","997","62.31","10","635","63.5"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ARMA","Estrato1","57","431","7.56","29","299","10.31"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ARMA","Estrato2","377","3.123","8.28","265","2.684","10.13"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ARMA","Estrato3","46","461","10.02","28","262","9.36"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ARMA","Estrato4","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ARMA","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ARMA","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ARMA","Industrial","1","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ARMA","Comercial","96","433","4.51","38","155","4.08"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","ARMA","Publico / Oficial","11","300","27.27","6","288","48"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","BELALCAZAR","Estrato1","424","4.449","10.49","308","3.197","10.38"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","BELALCAZAR","Estrato2","635","7.047","11.1","494","5.059","10.24"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","BELALCAZAR","Estrato3","341","3.541","10.38","319","3.302","10.35"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","BELALCAZAR","Estrato4","4","64","16","2","35","17.5"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","BELALCAZAR","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","BELALCAZAR","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","BELALCAZAR","Industrial","1","3","3","1","3","3"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","BELALCAZAR","Comercial","117","1.225","10.47","93","893","9.6"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","BELALCAZAR","Publico / Oficial","25","427","17.08","21","352","16.76"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","CHINCHINA","Estrato1","1.552","21.724","14","1.413","20.154","14.26"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","CHINCHINA","Estrato2","4.506","68.813","15.27","4.206","64.375","15.31"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","CHINCHINA","Estrato3","3.02","46.341","15.34","2.958","45.97","15.54"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","CHINCHINA","Estrato4","1.626","22.813","14.03","1.6","22.714","14.2"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","CHINCHINA","Estrato5","182","2.712","14.9","174","2.487","14.29"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","CHINCHINA","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","CHINCHINA","Industrial","10","67.576","6,757.6","6","55.151","9,191.83"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","CHINCHINA","Comercial","916","12.744","13.91","782","10.961","14.02"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","ENERO","CHINCHINA","Publico / Oficial","79","5.668","71.75","69","5.561","80.59"
